bits,rating,average,size,inX,inY,outX,outY,expX,expY,exactX,exactY,diff,errsize,errangle,score,cycles
9,exact,7.62062745,0x00,0xFE61,0x01F7,0x5D15,0xC577,0x5D15,0xC577,-162.9198761,197.4667414,0,0.001045951,0.2123677,0.001062337,1304
10,score,0.00306203255,0x00,0xFFB8,0x0201,0xDC6E,0xFD7C,0xDC6B,0xFD84,-35.58108886,253.5152582,11,0.01253168,5.140635,0.01292834,1334
10,size,0.0028872305,0x00,0x0018,0x0201,0x0BF6,0xFFB0,0x0BF7,0xFFB8,11.96352302,255.7203045,9,0.01284744,0.8458395,0.01291271,1318
10,angle,2.26543455,0x00,0xFDF8,0x0130,0x2303,0x8138,0x22FF,0x8134,-221.0039793,129.2023264,8,0.002055532,17.80781,0.003429591,1161
10,diff,2.68393359,0x00,0x0077,0x0200,0x39F0,0xF954,0x39F5,0xF95B,57.95521946,249.3535493,12,0.01124039,9.269805,0.01195565,1126
10,cycles,1336.42066,0x00,0xFE08,0xFC08,0x8E3D,0x1AAC,0x8E3C,0x1AAB,-113.763801,-229.3333765,2,0.002199145,0.377422,0.002228267,1518
10,exact,4.81770833,0x00,0x0314,0x037B,0xA998,0xBFC3,0xA998,0xBFC3,169.5956935,191.7636585,0,0.001070549,0.1375947,0.001081166,1407
11,score,0.00604942273,0x00,0xFBFE,0x002F,0x0050,0x0BF6,0x0045,0x0BB7,-255.7318189,11.71481042,74,0.01284744,199.762,0.02826118,1310
11,size,0.00292003608,0x00,0x002F,0x0401,0x0BF6,0xFFB0,0x0BBA,0xFFBB,11.72621553,255.7312962,71,0.01284744,190.563,0.02755138,1305
11,angle,40.556851,0x00,0x007F,0x0410,0x1F48,0xFE15,0x1F08,0xFE1D,31.03102473,254.1123285,72,0.00014893,203.0841,0.015819,1143
11,diff,17.5461475,0x00,0x010F,0x040E,0x40E3,0xF79C,0x40AB,0xF7B3,64.66857502,247.6973464,79,0.01168216,187.99,0.02618756,1433
11,cycles,1338.29238,0x00,0xFC10,0xF810,0x8E3D,0x1AAC,0x8E3C,0x1AAB,-113.763801,-229.3333765,2,0.002199145,0.377422,0.002228267,1505
11,exact,2.02604388,0x00,0x0628,0x06F6,0xA998,0xBFC3,0xA998,0xBFC3,169.5956935,191.7636585,0,0.001070549,0.1375947,0.001081166,1394
12,score,0.00701449797,0x00,0xF801,0x0122,0x0286,0x23A3,0x0288,0x23E9,-253.4689994,35.90914012,72,0.01194571,218.2066,0.02878264,1152
12,size,0.00292841144,0x00,0x005E,0x0802,0x0BF6,0xFFB0,0x0BBA,0xFFBB,11.72621553,255.7312962,71,0.01284744,190.563,0.02755138,1292
12,angle,52.9556814,0x00,0x02E6,0x07FF,0x56F8,0xF0C0,0x573E,0xF0AD,87.24072986,240.6762453,89,0.009059571,226.2947,0.02652058,1127
12,diff,22.1914505,0x00,0x037E,0x081D,0x6576,0xEB08,0x6536,0xEB25,101.2121337,235.1427311,93,0.001518021,219.6496,0.0184663,1110
12,cycles,1328.92283,0x00,0xF81F,0xF01F,0x8E3D,0x1AAC,0x8E37,0x1AAE,-113.7866152,-229.3220578,8,0.002199145,20.14242,0.003753344,1492
12,exact,0.808414905,0x00,0x0C50,0x0DEC,0xA998,0xBFC3,0xA998,0xBFC3,169.5956935,191.7636585,0,0.001070549,0.1375947,0.001081166,1381
13,score,0.00728218304,0x00,0xF002,0x0245,0x0286,0x23A3,0x028A,0x23F8,-253.4603938,35.96983117,89,0.01194571,267.5959,0.03259354,1139
13,size,0.00293032567,0x00,0x00BC,0x1004,0x0BF6,0xFFB0,0x0BBA,0xFFBB,11.72621553,255.7312962,71,0.01284744,190.563,0.02755138,1279
13,angle,56.4000715,0x00,0x053D,0x0FFE,0x4F5C,0xF35D,0x4FB0,0xF348,79.68747912,243.2815358,105,0.009463139,271.7548,0.03043187,1114
13,diff,23.4270811,0x00,0x06B5,0x0FFE,0x62B3,0xEC30,0x6303,0xEC14,99.0099388,236.0784446,108,0.00757556,264.8756,0.02801349,1110
13,cycles,1316.81561,0x00,0xF03D,0xE03D,0x8E3D,0x1AAC,0x8E34,0x1AAF,-113.7980168,-229.3164001,12,0.002199145,30.3978,0.004544653,1479
13,exact,0.372031655,0x00,0x18DD,0x11F6,0xCF84,0x95E8,0xCF84,0x95E8,207.5175467,149.9081979,0,0.001054076,0.365562,0.001082283,1240
14,score,0.00735237607,0x00,0xE004,0x029B,0x00D9,0x146D,0x00D8,0x14C9,-255.1548164,20.78508335,93,0.01226038,288.4155,0.03451466,1106
14,size,0.00293071466,0x00,0x0178,0x2008,0x0BF6,0xFFB0,0x0BBA,0xFFBB,11.72621553,255.7312962,71,0.01284744,190.563,0.02755138,1266
14,angle,57.3047319,0x00,0xF875,0x1FFC,0xC59A,0xF939,0xC53D,0xF92A,-58.76127121,249.164831,108,0.01044527,295.2628,0.0332279,1137
14,diff,23.7260035,0x00,0x0D6B,0x1FFC,0x62B3,0xEC30,0x6309,0xEC11,99.03445667,236.0681605,117,0.00757556,286.2977,0.02966643,1097
14,cycles,1304.03149,0x00,0xE079,0xC079,0x8E3D,0x1AAC,0x8E32,0x1AB0,-113.8037162,-229.3135717,15,0.002199145,35.52435,0.004940221,1466
